National Health Expenditure (NHE) Amounts by Type of Expenditure and Source of Funds: Calendar Years 1960-2026 in PROJECTIONS format,,,,,,,,,,,
The projections are based on the 2016 version of the NHE released in December 2017.,,,,,,,,,,,
,,,,,,,,,,,
LEVELS in $Millions,,,,,,,,,,,
First projected year is 2017,,,,,,,,,,,
,,,,,,,,,,,
CATEGORY,Projections_Vintage,Historical_or_Projected_Data,YEAR,TOTAL,OUT_OF_POCKET,TOTAL_HEALTH_INSURANCE,PRIVATE_HEALTH_INSURANCE,MEDICARE,MEDICAID,OTHER_HEALTH_INSURANCE,OTHER_THIRD_PARTY
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y2014,152398,39563,101651,12232,35610,49069,4740,11185
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y2015,158096,41437,105537,13979,37040,49521,4996,11122
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Historical,Y2016,162685,43778,107333,14809,37477,49991,5055,11574
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Projected,Y2017," 168,072 ",45608,110437,15516,39597,49967,5358,12027
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Projected,Y2018,174607,46844,115456,16115,41794,51872,5675,12307
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Projected,Y2019,182698,48604,121330,16951,45065,53462,5852,12764
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Projected,Y2020,191859,50327,128359,17759,48842,55699,6059,13173
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Projected,Y2021,201586,51929,136086,18564,53012,58183,6326,13571
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Projected,Y2022,211898,53646,144244,19428,57610,60659,6546,14008
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Projected,Y2023,223039,55694,152815,20407,62551,63117,6740,14530
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Projected,Y2024,234795,57923,161780,21447,67787,65630,6917,15092
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Projected,Y2025,246794,60315,170784,22533,72909,68243,7100,15694
Nursing Care Facilities and Continuing Care Retirement Communities,02/14/2018,Projected,Y2026,260970,62666,182074,23504,80379,70862,7329,16231
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1960,438,52,84,50,0,0,34,301
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1961,505,56,89,53,0,0,36,359
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1962,538,59,98,60,0,0,37,382
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1963,590,63,106,67,0,0,39,420
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1964,650,71,119,77,0,0,42,461
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1965,709,76,131,85,0,0,47,501
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1966,811,78,161,89,4,18,50,572
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1967,921,85,204,96,11,35,61,632
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1968,1074,97,271,113,14,72,73,706
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1969,1222,111,336,129,16,124,67,776
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1970,1299,122,341,151,18,135,38,836
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1971,1388,133,326,171,21,106,28,929
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1972,1676,143,431,193,25,180,34,1101
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1973,1975,159,595,218,29,312,37,1221
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1974,2358,180,774,247,38,445,44,1403
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1975,2869,165,1075,264,48,711,52,1629
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1976,3536,181,1432,310,57,1000,65,1923
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1977,4461,191,2007,360,70,1529,49,2263
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1978,5466,209,2656,415,89,2084,67,2602
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1979,6724,238,3375,487,110,2709,69,3111
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1980,8394,270,4320,571,131,3536,82,3804
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1981,9413,356,4749,692,153,3809,95,4308
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1982,10764,515,5411,816,201,4259,135,4837
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1983,12107,579,6177,908,261,4811,198,5350
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1984,13101,664,6546,986,302,5104,154,5892
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1985,14499,768,7276,1084,342,5721,129,6455
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1986,15666,790,8082,1156,411,6377,137,6794
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1987,16798,792,8819,1234,481,6968,137,7186
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1988,18779,901,9864,1425,489,7814,136,8014
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1989,21402,1004,11596,1592,635,9229,139,8802
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1990,23835,917,13221,1737,762,10567,155,9697
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1991,27365,884,15953,1899,932,12947,176,10528
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1992,29607,829,17668,2045,1109,14344,171,11110
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1993,33578,938,20512,2310,1279,16727,197,12128
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1994,37458,1020,23337,2596,1440,19108,193,13101
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1995,41496,1070,26312,2755,1568,21784,205,14115
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1996,46048,1394,29199,3110,1660,24186,243,15455
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1997,50008,1665,31680,3399,1713,26333,235,16664
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1998,55628,2494,33569,3651,1693,27917,308,19565
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y1999,59182,2676,35840,3740,1655,30080,365,20666
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y2000,63945,2967,38626,3869,1783,32492,482,22352
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y2001,69964,3298,42639,4040,2044,36037,517,24027
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y2002,76711,3560,47671,4517,2368,40193,593,25479
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y2003,82509,3932,51617,4994,2680,43255,689,26960
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y2004,89345,4222,56640,5877,3042,46823,898,28483
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y2005,95043,4529,60535,6270,3509,49851,905,29978
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y2006,101082,4636,64813,6701,3711,53287,1114,31633
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y2007,108335,4658,69650,7240,3930,57386,1094,34028
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y2008,114526,4791,73266,7752,4226,59981,1308,36469
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y2009,123354,5080,80261,8359,4577,65706,1619,38013
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y2010,129066,5101,85098,9138,4776,69609,1575,38867
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y2011,131650,5111,87359,10254,4948,70579,1578,39180
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y2012,139103,5519,92606,10072,5089,75665,1779,40978
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y2013,144226,5981,96751,10152,5143,79581,1875,41494
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y2014,151561,5803,101840,10736,5189,83971,1944,43918
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y2015,164767,6317,112730,12444,5051,93037,2199,45720
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Historical,Y2016,173486,6310,119227,13538,4944,98379,2366,47950
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Projected,Y2017," 180,376 ",6688,123165,14573,4950,101108,2534,50523
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Projected,Y2018,191602,7153,130876,15565,5061,107539,2711,53573
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Projected,Y2019,202247,7659,137765,16630,5353,112892,2890,56823
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Projected,Y2020,214435,8233,145842,17642,5693,119439,3068,60360
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Projected,Y2021,227399,8816,154379,18688,6075,126350,3266,64203
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Projected,Y2022,240757,9417,163113,19763,6430,133452,3468,68228
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Projected,Y2023,254753,10077,172146,20932,6799,140727,3688,72530
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Projected,Y2024,269532,10782,181669,22184,7266,148298,3922,77080
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Projected,Y2025,284870,11545,191423,23506,7510,156237,4170,81902
"Other Health, Residential, and Personal Care Expenditures",02/14/2018,Projected,Y2026,301127,12343,201800,24884,8147,164323,4446,86984
Government Administration Expenditures,02/14/2018,Historical,Y1960,54,0,12,0,0,0,12,42
Government Administration Expenditures,02/14/2018,Historical,Y1961,67,0,12,0,0,0,12,54
Government Administration Expenditures,02/14/2018,Historical,Y1962,79,0,13,0,0,0,13,66
Government Administration Expenditures,02/14/2018,Historical,Y1963,82,0,13,0,0,0,13,69
Government Administration Expenditures,02/14/2018,Historical,Y1964,142,0,13,0,0,0,13,129
Government Administration Expenditures,02/14/2018,Historical,Y1965,237,0,13,0,0,0,13,224
Government Administration Expenditures,02/14/2018,Historical,Y1966,334,0,184,0,120,51,13,150
Government Administration Expenditures,02/14/2018,Historical,Y1967,421,0,329,0,193,120,17,91
Government Administration Expenditures,02/14/2018,Historical,Y1968,560,0,460,0,287,152,21,99
Government Administration Expenditures,02/14/2018,Historical,Y1969,627,0,522,0,310,185,27,105
Government Administration Expenditures,02/14/2018,Historical,Y1970,740,0,672,0,397,243,32,69
Government Administration Expenditures,02/14/2018,Historical,Y1971,794,0,721,0,407,275,38,74
Government Administration Expenditures,02/14/2018,Historical,Y1972,929,0,849,0,474,332,44,81
Government Administration Expenditures,02/14/2018,Historical,Y1973,1087,0,1000,0,548,400,51,87
Government Administration Expenditures,02/14/2018,Historical,Y1974,1307,0,1209,0,680,471,59,98
Government Administration Expenditures,02/14/2018,Historical,Y1975,1493,0,1381,0,726,592,63,113
Government Administration Expenditures,02/14/2018,Historical,Y1976,1861,0,1692,0,879,743,70,169
Government Administration Expenditures,02/14/2018,Historical,Y1977,1942,0,1750,0,754,926,70,192
Government Administration Expenditures,02/14/2018,Historical,Y1978,2326,0,2120,0,1002,1040,78,206
Government Administration Expenditures,02/14/2018,Historical,Y1979,2507,0,2282,0,1022,1178,82,225
Government Administration Expenditures,02/14/2018,Historical,Y1980,2771,0,2529,0,1127,1316,87,241
Government Administration Expenditures,02/14/2018,Historical,Y1981,3154,0,2892,0,1308,1491,93,262
Government Administration Expenditures,02/14/2018,Historical,Y1982,3237,0,2953,0,1279,1565,108,284
Government Administration Expenditures,02/14/2018,Historical,Y1983,3592,0,3280,0,1416,1731,133,312
Government Administration Expenditures,02/14/2018,Historical,Y1984,4017,0,3659,0,1549,1977,132,358
Government Administration Expenditures,02/14/2018,Historical,Y1985,4536,0,4129,0,1912,2088,129,406
Government Administration Expenditures,02/14/2018,Historical,Y1986,4768,0,4286,0,1867,2283,135,482
Government Administration Expenditures,02/14/2018,Historical,Y1987,5110,0,4543,0,1858,2539,146,567
Government Administration Expenditures,02/14/2018,Historical,Y1988,5848,0,5178,0,2238,2785,156,670
Government Administration Expenditures,02/14/2018,Historical,Y1989,6533,0,5763,0,2474,3114,175,770
Government Administration Expenditures,02/14/2018,Historical,Y1990,7189,0,6347,0,2455,3695,197,842
Government Administration Expenditures,02/14/2018,Historical,Y1991,7966,0,6957,0,2812,3961,184,1009
Government Administration Expenditures,02/14/2018,Historical,Y1992,8657,0,7531,0,3002,4302,228,1125
Government Administration Expenditures,02/14/2018,Historical,Y1993,9260,0,8266,0,2801,5217,248,995
Government Administration Expenditures,02/14/2018,Historical,Y1994,10973,0,10001,0,3057,6669,274,973
Government Administration Expenditures,02/14/2018,Historical,Y1995,11710,0,10764,0,3023,7463,278,946
Government Administration Expenditures,02/14/2018,Historical,Y1996,10871,0,9841,0,3279,6284,278,1030
Government Administration Expenditures,02/14/2018,Historical,Y1997,12265,0,11314,0,3228,7783,302,951
Government Administration Expenditures,02/14/2018,Historical,Y1998,13299,0,12477,0,3431,8669,377,822
Government Administration Expenditures,02/14/2018,Historical,Y1999,14500,0,13839,0,3671,9628,540,661
Government Administration Expenditures,02/14/2018,Historical,Y2000,17054,0,15880,0,4676,10434,770,1174
Government Administration Expenditures,02/14/2018,Historical,Y2001,19564,0,17283,0,4522,11751,1010,2281
Government Administration Expenditures,02/14/2018,Historical,Y2002,22515,0,19289,0,5099,12732,1458,3226
Government Administration Expenditures,02/14/2018,Historical,Y2003,25085,0,20968,0,5182,13909,1876,4117
Government Administration Expenditures,02/14/2018,Historical,Y2004,26998,0,22643,0,6288,14026,2329,4356
Government Administration Expenditures,02/14/2018,Historical,Y2005,28144,0,24180,0,6494,14869,2816,3964
Government Administration Expenditures,02/14/2018,Historical,Y2006,28666,0,25554,0,6673,15745,3137,3112
Government Administration Expenditures,02/14/2018,Historical,Y2007,29072,0,26618,0,6680,16534,3403,2454
Government Administration Expenditures,02/14/2018,Historical,Y2008,29158,0,27570,0,6873,17262,3436,1587
Government Administration Expenditures,02/14/2018,Historical,Y2009,29543,0,28518,0,6974,17813,3731,1025
Government Administration Expenditures,02/14/2018,Historical,Y2010,30014,0,29187,0,7310,17601,4276,827
Government Administration Expenditures,02/14/2018,Historical,Y2011,32459,0,31110,0,8229,18422,4460,1349
Government Administration Expenditures,02/14/2018,Historical,Y2012,33760,0,31527,0,8856,18535,4135,2233
Government Administration Expenditures,02/14/2018,Historical,Y2013,36863,0,32562,0,8580,19964,4018,4301
Government Administration Expenditures,02/14/2018,Historical,Y2014,40982,0,36075,0,9537,22313,4225,4907
Government Administration Expenditures,02/14/2018,Historical,Y2015,42141,0,37724,0,9905,23236,4583,4417
Government Administration Expenditures,02/14/2018,Historical,Y2016,43834,0,39582,0,10494,24250,4839,4252
Government Administration Expenditures,02/14/2018,Projected,Y2017," 45,091 ",0,40574,0,10442,25088,5043,4517
Government Administration Expenditures,02/14/2018,Projected,Y2018,48067,0,43183,0,11155,26620,5409,4884
Government Administration Expenditures,02/14/2018,Projected,Y2019,52958,0,47646,0,13740,28052,5854,5312
Government Administration Expenditures,02/14/2018,Projected,Y2020,54480,0,48703,0,12710,29639,6355,5777
Government Administration Expenditures,02/14/2018,Projected,Y2021,58124,0,51843,0,13555,31382,6905,6281
Government Administration Expenditures,02/14/2018,Projected,Y2022,61947,0,55118,0,14403,33209,7506,6829
Government Administration Expenditures,02/14/2018,Projected,Y2023,66036,0,58612,0,15344,35109,8159,7424
Government Administration Expenditures,02/14/2018,Projected,Y2024,70443,0,62373,0,16374,37125,8874,8069
Government Administration Expenditures,02/14/2018,Projected,Y2025,75339,0,66569,0,17460,39454,9656,8769
Government Administration Expenditures,02/14/2018,Projected,Y2026,81234,0,71705,0,19069,42126,10510,9529
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1960,1018,0,852,852,0,0,0,167
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1961,1101,0,931,931,0,0,0,170
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1962,1214,0,1020,1020,0,0,0,194
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1963,1251,0,1051,1051,0,0,0,200
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1964,1376,0,1152,1152,0,0,0,225
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1965,1608,0,1355,1355,0,0,0,253
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1966,1734,0,1443,1442,0,1,0,291
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1967,1720,0,1391,1389,0,3,0,329
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1968,2033,0,1641,1637,0,4,0,392
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1969,1786,0,1361,1355,0,6,0,426
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1970,1892,0,1442,1434,0,8,0,450
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1971,2432,0,2021,2012,0,9,0,411
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1972,3403,0,2973,2964,0,9,0,430
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1973,3730,0,3200,3189,0,10,0,530
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1974,3208,0,2638,2625,0,13,0,570
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1975,3428,0,2852,2837,0,15,0,576
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1976,4906,0,4321,4304,0,17,0,585
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1977,7515,0,6775,6757,0,18,0,741
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1978,8896,0,7936,7917,0,19,0,960
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1979,9558,0,8219,8199,0,20,0,1338
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1980,9282,0,7703,7684,0,19,0,1579
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1981,10944,0,9266,9240,4,22,0,1678
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1982,13106,0,11321,11283,11,28,0,1785
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1983,14934,0,13363,13287,26,49,0,1571
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1984,19615,0,18460,18326,59,75,0,1156
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1985,20713,0,19419,19209,122,88,0,1294
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1986,17717,0,16456,16182,194,81,0,1261
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1987,15908,0,14131,13779,271,81,0,1777
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1988,20900,0,18961,18515,323,122,0,1939
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1989,27534,0,26004,25431,386,187,0,1529
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1990,31558,0,29830,29097,460,273,0,1727
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1991,31690,0,30323,29463,531,329,0,1367
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1992,34261,0,32256,31162,627,467,0,2005
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1993,43001,0,39566,37934,929,703,0,3435
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1994,44929,0,40545,38474,1182,889,0,4384
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1995,45882,0,41277,38615,1512,1149,0,4605
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1996,48805,0,44118,40844,1898,1376,0,4687
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1997,48454,0,44200,39542,2943,1715,0,4254
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1998,49933,0,45790,40314,3430,2026,20,4142
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y1999,55972,0,51982,45877,3467,2547,91,3990
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y2000,64185,0,59313,52348,3820,2968,178,4872
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y2001,71026,0,65368,57114,4053,3905,296,5658
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y2002,90014,0,82685,73282,3731,5222,450,7329
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y2003,107342,0,97980,88473,3485,5546,476,9362
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y2004,114933,0,104831,93686,4738,5908,499,10102
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y2005,122896,0,111132,96784,6990,6825,533,11764
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y2006,137158,0,124119,101269,14720,7525,605,13039
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y2007,143436,0,130906,104772,17361,8103,670,12530
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y2008,139733,0,129982,102016,18085,9114,768,9751
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y2009,138169,0,130967,98169,21567,10416,814,7202
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y2010,154435,0,146759,108456,23407,13873,1023,7676
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y2011,159152,0,151444,111444,24524,14431,1045,7708
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y2012,165882,0,155538,113018,25831,15732,958,10344
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y2013,173987,0,162531,115791,26719,18987,1034,11456
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y2014,195814,0,182905,125333,28385,28061,1126,12909
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y2015,207725,0,193596,125460,31775,35076,1284,14129
Net Cost of Health Insurance Expenditures,02/14/2018,Historical,Y2016,219817,0,203391,129605,36321,36077,1389,16427
Net Cost of Health Insurance Expenditures,02/14/2018,Projected,Y2017," 237,716 ",0,222628,146172,40621,34309,1526,15088
Net Cost of Health Insurance Expenditures,02/14/2018,Projected,Y2018,256338,0,240601,154412,43752,40810,1628,15737
Net Cost of Health Insurance Expenditures,02/14/2018,Projected,Y2019,261214,0,244718,154756,44401,43843,1719,16495
Net Cost of Health Insurance Expenditures,02/14/2018,Projected,Y2020,288874,0,271570,168678,51790,49316,1787,17303
Net Cost of Health Insurance Expenditures,02/14/2018,Projected,Y2021,305733,0,287582,176317,56179,53199,1888,18151
Net Cost of Health Insurance Expenditures,02/14/2018,Projected,Y2022,323385,0,304399,183923,61135,57352,1988,18986
Net Cost of Health Insurance Expenditures,02/14/2018,Projected,Y2023,342952,0,323130,192905,66379,61758,2088,19822
Net Cost of Health Insurance Expenditures,02/14/2018,Projected,Y2024,363830,0,343136,202424,72080,66439,2193,20694
Net Cost of Health Insurance Expenditures,02/14/2018,Projected,Y2025,385022,0,363417,212311,77364,71439,2304,21604
Net Cost of Health Insurance Expenditures,02/14/2018,Projected,Y2026,408596,0,386063,222281,84684,76678,2420,22533
Public Health Activity,02/14/2018,Historical,Y1960,371,0,0,0,0,0,0,371
Public Health Activity,02/14/2018,Historical,Y1961,409,0,0,0,0,0,0,409
Public Health Activity,02/14/2018,Historical,Y1962,456,0,0,0,0,0,0,456
Public Health Activity,02/14/2018,Historical,Y1963,509,0,0,0,0,0,0,509
Public Health Activity,02/14/2018,Historical,Y1964,572,0,0,0,0,0,0,572
Public Health Activity,02/14/2018,Historical,Y1965,621,0,0,0,0,0,0,621
Public Health Activity,02/14/2018,Historical,Y1966,733,0,0,0,0,0,0,733
Public Health Activity,02/14/2018,Historical,Y1967,861,0,0,0,0,0,0,861
Public Health Activity,02/14/2018,Historical,Y1968,969,0,0,0,0,0,0,969
Public Health Activity,02/14/2018,Historical,Y1969,1174,0,0,0,0,0,0,1174
Public Health Activity,02/14/2018,Historical,Y1970,1356,0,0,0,0,0,0,1356
Public Health Activity,02/14/2018,Historical,Y1971,1676,0,0,0,0,0,0,1676
Public Health Activity,02/14/2018,Historical,Y1972,1855,0,0,0,0,0,0,1855
Public Health Activity,02/14/2018,Historical,Y1973,2123,0,0,0,0,0,0,2123
Public Health Activity,02/14/2018,Historical,Y1974,2584,0,0,0,0,0,0,2584
Public Health Activity,02/14/2018,Historical,Y1975,2967,0,0,0,0,0,0,2967
Public Health Activity,02/14/2018,Historical,Y1976,3213,0,0,0,0,0,0,3213
Public Health Activity,02/14/2018,Historical,Y1977,3815,0,0,0,0,0,0,3815
Public Health Activity,02/14/2018,Historical,Y1978,4588,0,0,0,0,0,0,4588
Public Health Activity,02/14/2018,Historical,Y1979,5375,0,0,0,0,0,0,5375
Public Health Activity,02/14/2018,Historical,Y1980,6445,0,0,0,0,0,0,6445
Public Health Activity,02/14/2018,Historical,Y1981,7531,0,0,0,0,0,0,7531
Public Health Activity,02/14/2018,Historical,Y1982,8621,0,0,0,0,0,0,8621
Public Health Activity,02/14/2018,Historical,Y1983,9251,0,0,0,0,0,0,9251
Public Health Activity,02/14/2018,Historical,Y1984,9842,0,0,0,0,0,0,9842
Public Health Activity,02/14/2018,Historical,Y1985,11212,0,0,0,0,0,0,11212
Public Health Activity,02/14/2018,Historical,Y1986,12387,0,0,0,0,0,0,12387
Public Health Activity,02/14/2018,Historical,Y1987,13572,0,0,0,0,0,0,13572
Public Health Activity,02/14/2018,Historical,Y1988,15267,0,0,0,0,0,0,15267
Public Health Activity,02/14/2018,Historical,Y1989,17773,0,0,0,0,0,0,17773
Public Health Activity,02/14/2018,Historical,Y1990,19997,0,0,0,0,0,0,19997
Public Health Activity,02/14/2018,Historical,Y1991,22129,0,0,0,0,0,0,22129
Public Health Activity,02/14/2018,Historical,Y1992,24374,0,0,0,0,0,0,24374
Public Health Activity,02/14/2018,Historical,Y1993,26779,0,0,0,0,0,0,26779
Public Health Activity,02/14/2018,Historical,Y1994,29594,0,0,0,0,0,0,29594
Public Health Activity,02/14/2018,Historical,Y1995,31003,0,0,0,0,0,0,31003
Public Health Activity,02/14/2018,Historical,Y1996,32377,0,0,0,0,0,0,32377
Public Health Activity,02/14/2018,Historical,Y1997,34832,0,0,0,0,0,0,34832
Public Health Activity,02/14/2018,Historical,Y1998,37457,0,0,0,0,0,0,37457
Public Health Activity,02/14/2018,Historical,Y1999,40731,0,0,0,0,0,0,40731
Public Health Activity,02/14/2018,Historical,Y2000,43050,0,0,0,0,0,0,43050
Public Health Activity,02/14/2018,Historical,Y2001,46792,0,0,0,0,0,0,46792
Public Health Activity,02/14/2018,Historical,Y2002,52201,0,0,0,0,0,0,52201
Public Health Activity,02/14/2018,Historical,Y2003,54228,0,0,0,0,0,0,54228
Public Health Activity,02/14/2018,Historical,Y2004,54934,0,0,0,0,0,0,54934
Public Health Activity,02/14/2018,Historical,Y2005,57252,0,0,0,0,0,0,57252
Public Health Activity,02/14/2018,Historical,Y2006,60892,0,0,0,0,0,0,60892
Public Health Activity,02/14/2018,Historical,Y2007,65969,0,0,0,0,0,0,65969
Public Health Activity,02/14/2018,Historical,Y2008,71564,0,0,0,0,0,0,71564
